Eel_Name,Observer,Trial_date,Knot_type,Bout_Order,Knotting_Duration
Spaghettio,Gabby,8/24/23,double overhand,1,3.429
Bert,Sophia,12/1/23,double overhand,3,4.204
Eelvis,Sophia,12/1/23,double overhand,1,3.37
Ernie,Sophia,11/17/23,double overhand,1,5.27
Bert,Sophia,12/1/23,figure 8,2,2.57
Horatio,Sophia,11/17/23,figure 8,1,3.87
Snickers,Sophia,4/15/24,other,1,3.035
Willie,Gabby,8/29/23,overhand,1,2.5
Yorick,Gabby,8/29/23,overhand,1,3.962
Bert,Sophia,12/1/23,overhand,1,3.504
Bert,Sophia,12/1/23,overhand,4,2.935
Bert,Sophia,11/17/23,overhand,1,3.203
Bert,Sophia,12/8/23,overhand,1,1.902
Eelvis,Sophia,1/13/23,overhand,1,3.87
Eelvis,Sophia,11/5/22,overhand,1,3.169
Eelvis,Sophia,11/5/22,overhand,2,5.456
Eelvis,Sophia,11/5/22,overhand,3,2.736
Eelvis,Sophia,11/5/22,overhand,4,6.139
Eelvis,Sophia,11/5/22,overhand,5,5.138
Eelvis,Sophia,11/5/22,overhand,6,7.808
Eelvis,Sophia,11/5/22,overhand,7,5.606
Eelvis,Sophia,11/5/22,overhand,8,5.238
Eelvis,Sophia,8/24/23,overhand,1,3.486
Eelvis,Sophia,8/24/23,overhand,2,4.221
Eelvis,Sophia,1/13/23,overhand,1,3.07
Eelvis,Sophia,1/13/23,overhand,2,7.541
Eelvis,Sophia,1/13/23,overhand,3,6.19
Eelvis,Sophia,1/13/23,overhand,4,21.288
Eelvis,Sophia,1/13/23,overhand,5,8.526
Eelvis,Sophia,1/13/23,overhand,6,17.051
Hamlet,Sophia,8/24/23,overhand,1,3.287
Hamlet,Sophia,8/25/23,overhand,2,4.588
Hamlet,Sophia,8/26/23,overhand,3,3.687
Hamlet,Sophia,8/27/23,overhand,4,15.482
Hamlet,Sophia,8/28/23,overhand,5,4.471
Snickers,Sophia,1/13/23,overhand,1,3.42
Snickers,Sophia,8/23/23,overhand,1,3.337
Snickers,Sophia,8/23/23,overhand,2,2.353
Snickers,Sophia,8/24/23,overhand,1,2.536
Snickers,Sophia,8/24/23,overhand,2,1.985
Spaghettio,Sophia,8/29/23,overhand,1,3.92
Eelvis,Sophia,11/17/23,overhand,1,4.236
Eelvis,Sophia,11/17/23,overhand,2,3.937
Eelvis,Sophia,12/1/23,overhand,2,4.272
Eelvis,Sophia,1-Dec,overhand,3,5.705
Eelvis,Sophia,12/1/23,overhand,4,7.34
Eelvis,Sophia,12/1/23,overhand,5,4.637
Hamlet,Sophia,1/17/23,overhand,1,6.056
Hamlet,Sophia,1/17/23,overhand,2,4.805
Spaghettio,Sophia,12/8/23,overhand,1,3.203
Spaghettio,Sophia,12/8/23,overhand,2,3.57
Bert,Sacha,1/31/24,overhand,1,NA
Bert,Sacha,1/31/24,overhand,2,NA
Bert,Sacha,1/31/24,overhand,3,NA
Bert,Sacha,1/31/24,overhand,4,NA
Bert,Sacha,1/31/24,overhand,5,NA
Bert,Sacha,1/31/24,overhand,6,NA
Bill,Sophia,3/6/24,overhand,1,NA
Eelvis,Maya,1/24/24,overhand,1,NA
Eelvis,Maya,1/24/24,overhand,2,NA
Eelvis,Sophia,2/7/24,overhand,1,NA
Eelvis,Sacha,2/21/24,overhand,1,NA
Eelvis,Sacha,2/21/24,overhand,2,NA
Eelvis,Sacha,2/21/24,overhand,3,NA
Eelvis,Sacha,2/21/24,overhand,4,NA
Ernie,Sophia,1/24/24,overhand,1,NA
Hamlet,Sophia,2/28/24,overhand,1,NA
Snickers,Sophia,2/14/24,overhand,1,NA
Snickers,Sacha,2/28/24,overhand,1,NA
Snickers,Sacha,2/28/24,overhand,2,NA
Snickers,Sophia,3/6/24,overhand,1,NA
Snickers,Sophia,4/15/24,overhand,2,4.838
Snickers,Sophia,4/15/24,overhand,3,4.436
Eelvis,Sophia,4/22/24,overhand,1,4.87